testId,_inp_StaffType,_inp_WorkHour,_inp_Quality,_inp_Age,_out_Salary,_out_ExReward
1,1,150,70,20,1613,FALSE
2,1,150,70,21,1613,FALSE
3,1,150,70,22,1613,FALSE
4,1,150,70,23,1613,FALSE
5,1,150,70,24,1613,FALSE
6,1,150,70,25,1613,FALSE
7,1,150,70,26,1613,FALSE
8,1,150,70,27,1613,FALSE
9,1,150,70,28,1613,FALSE
10,1,150,70,29,1613,FALSE
11,1,150,70,30,1613,FALSE
12,1,150,70,31,1613,FALSE
13,1,150,70,32,1613,FALSE
14,1,150,70,33,1613,FALSE
15,1,150,70,34,1613,FALSE
16,1,150,70,35,1613,FALSE
17,1,150,70,36,1613,FALSE
18,1,150,70,37,1613,FALSE
19,1,150,70,38,1613,FALSE
20,1,150,70,39,1613,FALSE
21,1,150,70,40,1613,FALSE
22,1,150,70,41,1613,FALSE
23,1,150,70,42,1613,FALSE
24,1,150,70,43,1613,FALSE
25,1,150,70,44,1613,FALSE
26,1,150,70,45,1613,FALSE
27,1,150,70,46,1613,FALSE
28,1,150,70,47,1613,FALSE
29,1,150,70,48,1613,FALSE
30,1,150,70,49,1613,FALSE
31,1,150,70,50,1613,FALSE
32,1,150,70,51,1613,FALSE
33,1,150,70,52,1613,FALSE
34,1,150,70,53,1613,FALSE
35,1,150,70,54,1613,FALSE
36,1,150,70,55,1613,FALSE
37,1,150,70,56,1613,FALSE
38,1,150,70,57,1613,FALSE
39,1,150,70,58,1613,FALSE
40,1,150,70,59,1613,FALSE
41,1,150,70,60,1613,FALSE
42,1,150,70,61,1613,FALSE
43,1,150,70,62,1613,FALSE
44,1,150,70,63,1613,FALSE
45,1,150,70,64,1613,FALSE
46,1,150,71,20,1613,FALSE
47,1,150,71,21,1613,FALSE
48,1,150,71,22,1613,FALSE
49,1,150,71,23,1613,FALSE
50,1,150,71,24,1613,FALSE
51,1,150,71,25,1613,FALSE
52,1,150,71,26,1613,FALSE
53,1,150,71,27,1613,FALSE
54,1,150,71,28,1613,FALSE
55,1,150,71,29,1613,FALSE
56,1,150,71,30,1613,FALSE
57,1,150,71,31,1613,FALSE
58,1,150,71,32,1613,FALSE
59,1,150,71,33,1613,FALSE
60,1,150,71,34,1613,FALSE
61,1,150,71,35,1613,FALSE
62,1,150,71,36,1613,FALSE
63,1,150,71,37,1613,FALSE
64,1,150,71,38,1613,FALSE
65,1,150,71,39,1613,FALSE
66,1,150,71,40,1613,FALSE
67,1,150,71,41,1613,FALSE
68,1,150,71,42,1613,FALSE
69,1,150,71,43,1613,FALSE
70,1,150,71,44,1613,FALSE
71,1,150,71,45,1613,FALSE
72,1,150,71,46,1613,FALSE
73,1,150,71,47,1613,FALSE
74,1,150,71,48,1613,FALSE
75,1,150,71,49,1613,FALSE
76,1,150,71,50,1613,FALSE
77,1,150,71,51,1613,FALSE
78,1,150,71,52,1613,FALSE
79,1,150,71,53,1613,FALSE
80,1,150,71,54,1613,FALSE
81,1,150,71,55,1613,FALSE
82,1,150,71,56,1613,FALSE
83,1,150,71,57,1613,FALSE
84,1,150,71,58,1613,FALSE
85,1,150,71,59,1613,FALSE
86,1,150,71,60,1613,FALSE
87,1,150,71,61,1613,FALSE
88,1,150,71,62,1613,FALSE
89,1,150,71,63,1613,FALSE
90,1,150,71,64,1613,FALSE
91,1,150,72,20,1613,FALSE
92,1,150,72,21,1613,FALSE
93,1,150,72,22,1613,FALSE
94,1,150,72,23,1613,FALSE
95,1,150,72,24,1613,FALSE
96,1,150,72,25,1613,FALSE
97,1,150,72,26,1613,FALSE
98,1,150,72,27,1613,FALSE
99,1,150,72,28,1613,FALSE
100,1,150,72,29,1613,FALSE
101,1,150,72,30,1613,FALSE
102,1,150,72,31,1613,FALSE
103,1,150,72,32,1613,FALSE
